P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag
1,0.0030,1,-0.5000,0.5000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0060,2,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0090,3,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0120,4,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0150,5,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0180,6,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0210,7,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0240,8,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0270,9,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0300,10,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0330,11,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0360,12,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0390,13,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0420,14,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0450,15,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0480,16,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0510,17,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0540,18,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0570,19,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0600,20,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0630,21,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0660,22,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0690,23,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0720,24,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0750,25,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0780,26,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0810,27,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0840,28,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0870,29,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0900,30,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0930,31,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0960,32,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.0990,33,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1020,34,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1050,35,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1080,36,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1110,37,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1140,38,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1170,39,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1200,40,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1230,41,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1260,42,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1290,43,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1320,44,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1350,45,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1380,46,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1410,47,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1440,48,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1470,49,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1500,50,-0.5000,0.5000,0.00000000,0.70710678,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1530,51,-0.4999,0.4999,0.00000000,0.70700168,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1560,52,-0.4987,0.4987,0.00000000,0.70529405,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1590,53,-0.4957,0.4957,0.00000000,0.70102976,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1620,54,-0.4904,0.4904,0.00000000,0.69355971,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1650,55,-0.4825,0.4825,0.00000000,0.68238495,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1680,56,-0.4717,0.4717,0.00000000,0.66711701,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1710,57,-0.4578,0.4578,0.00000000,0.64746331,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1740,58,-0.4407,0.4407,0.00000000,0.62322168,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1770,59,-0.4202,0.4202,0.00000000,0.59427838,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1800,60,-0.3964,0.3964,0.00000000,0.56060753,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1830,61,-0.3693,0.3693,0.00000000,0.52227047,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1860,62,-0.3390,0.3390,0.00000000,0.47941459,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1890,63,-0.3057,0.3057,0.00000000,0.43227099,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1920,64,-0.2695,0.2695,0.00000000,0.38115081,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1950,65,-0.2308,0.2308,0.00000000,0.32644011,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1980,66,-0.1899,0.1899,0.00000000,0.26859317,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2010,67,-0.1472,0.1472,0.00000000,0.20812443,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2040,68,-0.1030,0.1030,0.00000000,0.14559891,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2070,69,-0.0577,0.0577,0.00000000,0.08162161,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2100,70,-0.0119,0.0119,0.00000000,0.01682584,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2130,71,0.0340,-0.0340,0.00000000,0.04813906,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2160,72,0.0796,-0.0796,0.00000000,0.11262044,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2190,73,0.1244,-0.1244,0.00000000,0.17597513,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2220,74,0.1680,-0.1680,0.00000000,0.23758196,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2250,75,0.2099,-0.2099,0.00000000,0.29685383,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2280,76,0.2498,-0.2498,0.00000000,0.35324884,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2310,77,0.2873,-0.2873,0.00000000,0.40628047,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2340,78,0.3221,-0.3221,0.00000000,0.45552641,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2370,79,0.3540,-0.3540,0.00000000,0.50063600,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2400,80,0.3828,-0.3828,0.00000000,0.54133615,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2430,81,0.4083,-0.4083,0.00000000,0.57743577,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2460,82,0.4305,-0.4305,0.00000000,0.60882876,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2490,83,0.4494,-0.4494,0.00000000,0.63549574,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2520,84,0.4649,-0.4649,0.00000000,0.65750492,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2550,85,0.4773,-0.4773,0.00000000,0.67501257,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2580,86,0.4867,-0.4867,0.00000000,0.68826407,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2610,87,0.4933,-0.4933,0.00000000,0.69759720,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2640,88,0.4974,-0.4974,0.00000000,0.70345095,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2670,89,0.4995,-0.4995,0.00000000,0.70638882,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2700,90,0.5000,-0.5000,0.00000000,0.70716891,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2730,91,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2760,92,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2790,93,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2820,94,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2850,95,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2880,96,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2910,97,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2940,98,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2970,99,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3000,100,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3030,101,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3060,102,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3090,103,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3120,104,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3150,105,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3180,106,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3210,107,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3240,108,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3270,109,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3300,110,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3330,111,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3360,112,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3390,113,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
